Id,Naughtiness,Author,SpecialOptions,es-es,en-us,ca
407,1,Buri,,Yo nunca he llevado calcetines diferentes en cada pié.,Never have I ever worn unmatching socks.> A> Buri <a <,Jo mai he portat mitjons diferents en cada peu.> A> Buri <a <
408,3,,,Yo nunca he hecho un striptease.,Never have I ever done a striptease.,Jo mai he fet un streaptease.
409,5,,,Yo nunca he comido corrida de encima de unas tetas.,Never have I ever sucked someone's tits after they had been cummed on,Jo mai he menjat correguda de sobre d'unes mamelles.
410,5,,,Yo nunca me he liado con corrida en la boca.,Never have I ever made out with cum in my mouth,Jo mai m'he embolicat amb correguda a la boca.
411,5,,,Yo nunca me he comido mi propia corrida.,Never have I ever tasted my own semen,Jo mai m'he menjat la meva pròpia correguda.
412,1,,,Yo nunca he buscado porno en YouTube.,Never have I ever looked for porn on YouTube.,Jo mai he buscat porno a YouTube.
413,4,,,Yo nunca he dicho que probaría las setas y no lo he hecho.,Never have I ever said I would try mushrooms and haven't done it,Jo mai he dit que provaria els bolets i no ho he fet.
414,5,,,Yo nunca la he sacado manchada tras hacer un anal.,Never have I ever pulled it out dirty after anal sex,Jo mai l'he tret tacada després de fer un anal.
415,5,,,Yo nunca he hecho un anal.,Never have I ever given anal sex,Jo mai he fet un anal.
416,5,,,Yo nunca he recibido sexo anal.,Never have I ever received anal sex,Jo mai he rebut sexe anal.
417,4,Bieloman,,Yo nunca he pillado dos blancazos en una noche.,Never have I ever passed out twice the same night.> A> Bieloman <a <,Jo mai he enxampat 2 blancazos en una nit.> A> Bieloman <a <
418,5,Núria,,Yo nunca me he masturbado teniendo una conversación por chat.,Never have I ever masturbated while chatting.> A> Núria <a <,Jo mai m'he masturbat tenint una conversa per xat.> A> Núria <a <
419,5,,,Yo nunca he tenido sexo con alguien que tenía pareja.,Never have I ever had sex with someone who had a partner.,Jo mai he tingut sexe amb algú que tenia parella.
420,2,,,Yo nunca he dado plantón en una cita.,Never have I ever stood someone up,Jo mai he plantat en una cita.
421,2,,,Yo nunca he pedido a alguien que me llamara para irme de una cita que no estaba disfrutando.,Never have I ever asked someone to call to have an excuse to leave from a bad date,Jo mai he demanat a algú que em truqués per anar-me'n d'una cita que no estava gaudint.
422,5,,,Yo nunca me he comido más de una polla a la vez.,Never have I ever eaten more than one cock at a time.,Jo mai m'he menjat més d'una polla alhora.
423,5,,,Yo nunca me he comido más de una polla la misma noche.,Never have I ever eaten more than one cock the same night,Jo mai m'he menjat més d'una polla la mateixa nit.
424,5,,,Yo nunca me he comido más de un coño la misma noche.,Never have I ever eaten more than a pussy the same night,Jo mai m'he menjat més d'un cony la mateixa nit.
425,5,,,Yo nunca he pensado que alguien de los presentes besa fatal.,Never have I ever thought that someone present is a terrible kisser,Jo mai he pensat que algú dels presents besa fatal.
426,5,,,Yo nunca me he masturbado en el coche con más gente en él.,Never have I ever masturbated in a car with other people in it,Jo mai m'he masturbat al cotxe amb més gent en ell.
427,4,,,Yo nunca he comido algo con marihuana.,Never have I ever eaten anything containing marijuana.,Jo mai he menjat alguna cosa amb marihuana.
428,4,,,Yo nunca he fumado marihuana.,Never have I ever smoked marijuana.,Jo mai he fumat marihuana.
429,2,,,Yo nunca he dejado que unos condones me caduquen.,Never have I ever let any of my condoms expire,Jo mai he deixat que uns condons em caduquin.
430,5,,,Yo nunca he usado un condón caducado.,Never have I ever used an expired condom.,Jo mai he fet servir un condó caducat.
431,2,,,Yo nunca me he liado con alguien después de vomitar.,Never have I ever made out after vomiting.,Jo mai m'he embolicat amb algú després de vomitar.
432,2,,,Yo nunca me he liado con alguien después de que la otra persona vomitara.,Never have I ever made out with someone after the other person vomit.,Jo mai m'he embolicat amb algú després que l'altra persona vomités.
433,1,,,Yo nunca he vomitado delante de la persona que me gustaba.,Never have I ever vomited in front of the person I liked.,Jo mai he vomitat davant de la persona que m'agradava.
434,2,,,Yo nunca he robado un bolo (bowling),Never have I ever stolen a bowling pin,Jo mai he robat una bitlla
435,2,,,Yo nunca he elegido un libro por su escaso número de páginas.,Never have I ever chosen a book for its poor number of pages.,Jo mai he triat un llibre pel seu escàs nombre de pàgines.
436,1,,,Yo nunca he escuchado una canción de K-pop.,Never have I ever heard a K-pop song,Jo mai he escoltat una cançó de K-pop.
437,1,Obroni,,Yo nunca he viajado a Africa,Never have I ever traveled to Africa,Jo mai he viatjat a Àfrica
438,1,Ahora es un buen momento,,Yo nunca he valorado con 5 estrellas una App.,Never have I ever rated an app with 5 stars> A> Now is a good time <a <,Jo mai he valorat amb 5 estrelles una App.> A> Ara és un bon moment <a <
439,2,,,Yo nunca he pensado en como follan los erizos.,Never have I ever thought about how hedgehogs fuck.,Jo mai he pensat en com follen els eriçons.
440,2,,,Yo nunca he dibujado un pene en un coche sucio.,Never have I ever drawn a penis in a dirty car.,Jo mai he dibuixat un penis en un cotxe brut.
441,2,,,Yo nunca he dejado mierda de mi perro en la calle.,Never have I ever left my dog's ​​shit on the street.,Jo mai he deixat merda del meu gos al carrer.
442,5,,,Yo nunca he deseado ver a dos de los presentes follando.,Never have I ever wanted to see two people present here having sex,Jo mai he desitjat veure a dos dels presents follant.
443,5,,,Yo nunca he disfrutado de ver a alguien follar en persona (sin que me implicara en el sexo).,Never have I ever enjoyed seeing live how other people have sex,Jo mai he gaudit de veure algú follar en persona (sense que em impliqués en el sexe).
444,1,,,Yo nunca he ido al baño en el momento de pagar para que me invitaran a algo.,Never have I ever gone to the bathroom when we had to pay so that someone else pays for me,Jo mai he anat a el bany en el moment de pagar perquè em convidessin a alguna cosa.
445,2,Núria,,Yo nunca he tenido problemas para desabrochar un sujetador.,Never have I ever had trouble unfastening a bra.> A> Núria <a <,Jo mai he tingut problemes per a treure-li a algú el sostenidor.
446,1,,,Yo nunca he roto ropa de tanto usarla.,Never have I ever broken clothes by using them for too long,Jo mai he trencat roba de tant usar-la.
447,5,,,Yo nunca he metido mano o me han metido mano en un taxi.,Never have I ever gropped or been gropped in a taxi,Jo mai he ficat mà o m'han ficat mà en un taxi.
448,5,,,Yo nunca me he tocado con fotos o vídeos de una ex-pareja.,Never have I ever touched myself looking at photos or videos of an ex-partner.,Jo mai m'he tocat amb fotos o vídeos d'una ex-parella.
449,5,,,Yo nunca me he tocado con fotos o vídeos que me habían pedido que borrara.,Never have I ever masturbated with photos or videos that I had been asked to delete,Jo mai m'he tocat amb fotos o vídeos que m'havien demanat que esborrés.
450,4,,,Yo nunca me he bebido un litro de cerveza de golpe.,Never have I ever drunk a liter of beer at once.,Jo mai m'he begut un litre de cervesa de cop.
451,5,Zoso,,Yo nunca he usado un succionador de clitoris.,Never have I ever used a clit suction toy.> A> Zoso <a <,Jo mai he fet servir un succionador de clitoris.> A> Zoso <a <
452,2,,,Yo nunca he hecho autoestop para volver de fiesta.,Never have I ever hitchhiked to get back from a party,Jo mai he fet autoestop per tornar de festa.
453,5,,,Yo nunca he echado de menos el sexo de un/a ex,Never have I ever missed sex with my ex,Jo mai he trobat a faltar el sexe d'una exparella.
454,5,Bomberos,,Yo nunca le he aguantado la manguera a alguien mientras meaba.,Never have I ever held someone's hose while they peed.> A> The firefighter <a <,Jo mai li he aguantat la mànega a algú mentre pixava.> A> Bombers <a <
455,5,,,Yo nunca he sido masturbado en el coche con más gente en él.,Never have I ever been masturbated in a car with other people in it.,Jo mai he estat masturbat al cotxe amb més gent en ell.
456,4,,,Yo nunca he bebido un chupito en llamas.,Never have I ever drunk a shot in flames.,Jo mai he begut un xarrup en flames.
457,2,,,Yo nunca he roto un contrato de confidencialidad.,Never have I ever broken a confidentiality agreement.,Jo mai he trencat un contracte de confidencialitat.
458,2,,,Yo nunca he vendido información confidencial.,Never have I ever sold confidential information.,Jo mai he venut informació confidencial.
459,5,Buri,,Yo nunca me he comido una polla con un condón de sabores.,Never have I ever sucked a dick with a flavored condom.> A> Buri <a <,Jo mai m'he menjat una polla amb un condó de sabors.> A> Buri <a <
460,4,,,Yo nunca he comprado más de 100g de hierba de golpe.,Never have I ever bought more than 100g of weed in one purchase,Jo mai he comprat més de 100g d'herba de cop.
461,1,,,Yo nunca he pedido una canción al DJ.,Never have I ever asked for a song to the DJ.,Jo mai he demanat una cançó a l'DJ.
462,1,Buri,,Yo nunca he jugado a juegos de rol.,Never have I ever played rol games.> A> Buri <a <,Jo mai he jugat a jocs de rol.> A> Buri <a <
463,2,Buri,,Yo nunca me he meado de la risa.,Never have I ever peed because I laughed too much.> A> Buri <a <,Jo mai m'he pixat del riure.> A> Buri <a <
464,2,Buri,,Yo nunca he rallado un coche ajeno,Never have I ever scratched someone else's car,Jo mai he ratllat un cotxe aliè
465,2,,,Yo nunca me he meado conduciendo.,Never have I ever peed while driving.,Jo mai m'he pixat conduint.
466,2,,,Yo nunca he meado en el lateral de una carretera.,Never have I ever peed on the side of a road.,Jo mai he pixat al lateral d'una carretera.
467,3,judit esquerdats,,A mi nunca me lo han comido después de que hayan comido picante.,Never have I ever received an oral after that person ate spicy food.> A>Judit Esquerdats<a <,A mi mai me l'han menjat després que hagin menjat picant.> A> judit esquerdats <a <
468,1,,,Yo nunca he tenido problemas al cagar tras comer demasiado picante.,Never have I ever had trouble taking a shit after eating spicy food,Jo mai he tingut problemes a l'cagar després de menjar massa picant.
469,3,Núria,,Yo nunca he recordado una polla distinta a lo que realmente era.,Never have I ever thought a dick was different than what I remembered.> A> Núria <a <,Jo mai he recordat una polla diferent al que realment era.> A> Núria <a <
470,3,Núria,,Yo nunca me he olvidado de las partes de alguien quien me he tirado,Never have I ever forgotten how the intimate parts of someone I've fucked looked like,Jo mai m'he oblidat de les parts d'algú qui m'he tirat
471,3,Núria,,Yo nunca he tomado anticonceptivos para evitar la regla,Never have I ever taken contraceptive pills to avoid my period,Jo mai he pres anticonceptius per evitar la regla
472,5,,,Yo nunca me he masturbado mirando fotos del insta de alguien que conozco.,Never have I ever masturbated looking at Instagram pics of someone I know,Jo mai m'he masturbat mirant fotos de l'insta d'algú que conec.
473,5,,,A mí nunca me ha venido a buscar mi pareja en casa de la persona con la que le había puesto los cuernos.,Never have I ever been picked up by my partner at the house of with who I had cheated on him/her,A mi mai m'ha vingut a buscar la meva parella a casa de la persona amb la qual li havia posat les banyes.> A> Buri <a <
474,2,Buri,,Yo nunca he cagado dentro del agua.,Never have I ever pooped inside the water.> A> Buri <a <,Jo mai he cagat dins l'aigua.> A> Buri <a <
475,2,Buri,,Yo nunca he hecho putadas a alguien que estaba durmiendo,Never have I ever played a prank on someone who was sleeping,Jo mai he fet putades a algú que estava dormint
476,2,Buri,,A mi nunca me han hecho putadas mientras dormía,Never have I ever been pranked while I was sleeping.,A mi mai m'han fet putades mentre dormia
477,1,,,Yo nunca he hecho snow.,Never have I ever practiced snowboarding.,Jo mai he fet snow.
478,1,,,Yo nunca he esquiado.,Never have I ever skied.,Jo mai he esquiat.
479,5,Venteo,,Yo nunca he follado en una grúa.,Never have I ever fucked on a crane.,Jo mai he follat ​​en una grua.
480,2,Venteo,,Yo nunca he subido a una grúa.,Never have I ever climbed a crane.,Jo mai he pujat a una grua.
481,4,,,Yo nunca me he fumado un peta con mi jefe/a.,Never have I ever smoked a joint with my boss.,Jo mai m'he fumat un peta amb el meu jefe/a.
482,5,El Sando,,Yo nunca he tenido éxito mandando una fotopolla.,Never have I ever been successful sending a dick pic.,Jo mai he tingut èxit enviant una 'fotopolla'.
483,2,Núria,,"Yo nunca he dicho ""gracias"" cuando alguien me ha dicho ""te quiero"".","Never have I ever said ""thank you"" when someone has said ""I love you"" to me.","Jo mai he dit ""gràcies"" quan algú m'ha dit ""t'estimo""."
484,5,klk,,Yo nunca he follado en el coche con más gente dentro.,Never have I ever had sex in a car with more people in it.,Jo mai he follat en un cotxe amb més gent a dins.
485,5,klk,,Yo nunca he hecho sexo oral más de una vez en una misma noche.,Never have I ever did a more than one cunnilingus in one night.,Jo mai m'he menjat més d'un cony la mateixa nit.
486,5,klk,,Yo nunca he hecho un trio con dos amigas.,Never have I ever had a thresome with two female friends.,Jo mai he fet un trio amb dues amigues.
487,5,klk,,Yo nunca he follado en una piscina pública/comunitaria de día.,Never have I ever had sex in a public pool at daytime.,Jo mai he follat en una picina pública durant el dia.
488,3,klk,,Yo nunca he tenido semen en el ojo.,Never have I ever had semen in the eye.,Jo mai he tingut semen a l'ull.
489,3,Tg,,Yo nunca he perdido las bragas.,Never have I ever lost my panties.,Jo mai he perdut les calces.
490,2,klk,,Yo nunca he dudado sobre mi orientación sexual.,Never have I ever doubted about my sexual orientation.,Jo mai he dubtat de la meva orientació sexual.
491,2,,,Yo nunca he cagado mientras comía.,Never have I ever shitted while eating.,Jo mai he cagat mentre menjava.
492,5,,,Yo nunca me he masturbado durante una clase telemática.,Never have I ever masturbated during a telematics class.,Jo mai m'he masturbat durant una classe telemàtica.
493,3,,,Yo nunca he hecho o recibido un oral desde debajo de una mesa.,Never have I ever did or recieved an oral from under a table.,Jo mai he rebut o fet un oral des de sota la taula.
494,4,,,Yo nunca he fumado marihuana vendida por un policía.,Never have I ever smoked pot sold by a policeman.,Jo mai he fumat maria venuda per un policia.
495,5,Juks,,Yo nunca me he masturbado durante una videollamada.,Never have I ever masturbated during a video call.,Jo mai m'he masturbat durant una videotrucada.
496,2,,,Yo nunca me he grabado mientras cagaba.,Never have I ever recorded myself while pooping.,Jo mai m'he gravat mentre cagava.
497,5,Anónimo,,Yo nunca lo he hecho en un sitio público.,Never have I ever had sex in a public place.,Jo mai ho he fet en un lloc públic.
498,5,Anónimo,,Yo nunca lo he hecho en unos probadores.,Never have I ever had sex in a fitting room.,Jo mai ho he fet en uns emprovadors d'una botiga.
499,5,Anónimo,,Yo nunca lo he hecho en un coche.,Never have I ever had sex in a car.,Jo mai ho he fet en un cotxe.
500,2,Anónimo,,Yo nunca he sido pillado/a llegando borracho/a a casa.,Never have I ever been caught coming home drunk.,Jo mai he estat pillat arribant begut a casa.
501,2,Anónimo,,Yo nunca he sido detenido/a.,Never have I ever been detained.,Jo mai he estat detingut/da.
502,1,Anónimo,,Yo nunca me he tropezado por mirar el móvil.,Never have I ever stumbled because of looking at my cell phone.,Jo mai m'he xocat amb alguna cosa per mirar el mòbil.
503,1,Anónimo,,Yo nunca he llorado viendo una película.,Never have I ever cried while watching a movie.,Jo mai he plorat al veure una película.
504,4,Clara,,Yo nunca me he gastado más de 50€ para intentar tener sexo.,Never have I ever spent more than 50$ trying yo get laid.,Jo mai m'he gastat més de 50€ per intentar tenir sexe.
505,3,,,Yo nunca he tenido problemas para encontrar el clítoris.,Never have I ever had troubles finding the clitoris.,Jo mai he tingut problemes per a trobar el clítoris.
506,4,Gisu,,Yo nunca he ido a clase borracho/a.,Never have I ever assisted a class drunk.,Jo mai he anat a classe begut/da.
507,3,,,Yo nunca he mandado un nude por error.,Never have I ever sent nudes by mistake.,Jo mai he enviat nudes per error.
508,4,,,Yo nunca me he despertado borracho a la mañana siguiente.,Never have I ever waken up still drunk.,Jo mai m'he llevat i seguía begut.
509,2,,,Yo nunca me he enamorado a primera vista.,Never have I ever fallen in love first sight.,Jo mai m'he enamorat a primera vista.
510,3,Una paja sin fin,,Yo nunca me he hecho una paja delfín.,Never have I ever done a never-ending handjob.,Jo mai m'he fet una palla dofí.
511,5,,,Yo nunca he visto un micropene.,Never have I ever seen a micropenis.,Jo mai he vist un micropenis.
512,3,Giss,,Yo nunca he follado con alguien calvo.,Never have I ever fucked with someone bold.,Jo mai he follat amb algú calb.
513,3,Giss,,Yo nunca me he acostado con alguien 5 años menor que yo.,Never have I ever slept with someone 5 years younger than me.,Jo mai he follat amb algú 5 anys menor que jo.
514,1,Clara,,Yo nunca he conocido al creador de Drink and Play.,Never have I ever met the creator of Drink and Play.,Jo mai he conegut al creador de Drink and Play.
515,3,Giss,,Yo nunca me he liado con dos personas con el mismo nombre.,Never have I ever made out with two people with the same name.,Jo mai m'he liat amb dues persones amb el mateix nom.
516,5,Clara,,Yo nunca me he acostado con dos gemelos/as.,Never have I ever slept with two twins.,Jo mai he follat amb dos bessons.
517,5,,,Yo nunca he tenido un accidente en la cama.,Never have I ever had an accident in the bed.,Jo mai he tingut un accident al llit.
518,3,Clara,,Yo nunca he pensado seriamente en hacerme OnlyFans.,Never have I ever seriously considered creating an OnlyFans account.,Jo mai m'he plantejat seriament crear-me un compte d'OnlyFans.
519,2,,,Yo nunca he pensado que le gusto a alguien de los presentes.,Never have I ever thought that someone present liked me.,Jo mai he pensat que li agrado a algú present.
520,3,,,Yo nunca he pillado a alguien de los presentes mirandome las partes.,Never have I ever caught someone present looking at my parts.,Jo mai he pillat a algú present mirant-me les parts.
521,3,B,,Yo nunca he intentado poner celoso/a a mi pareja.,Never have I ever tried to make jealous my partner.,Jo mai he intentat posar gelós/a a la meva parella.
522,5,B,,Yo nunca he pensado que estaba en una relación tóxica.,Never have I ever thought that I was in a toxic relationship.,Jo mai he pensat que estava en una relació tòxica.
523,2,Clara,,Yo nunca he querido irme de esta fiesta.,Never have I ever desired leaving this party.,Jo mai he desitjat marxar d'aquesta festa.
524,4,MrEspecifico,,Yo nunca me he comido o me han comido la polla después de meterse una raya encima de la misma.,Never have I ever eaten a dick or my dick has been eaten after putting a line on it.,A mi mai m'han menjat o he menjat una polla després de fer-se una ratlla a sobre.
525,5,,,Yo nunca me he masturbado en clase,Never have I ever masturbated during a lesson.,Jo mai m'he masturbat durant una classe.
526,1,,,Yo nunca he aprovechado la pandemia para cambiar mi peinado.,,
527,1,,,Yo nunca me he rapado al cero.,,
528,2,,,Yo nunca he pensado en matar a alguien.,,
529,1,,,Yo nunca he abierto Google en mitad de un examen.,,
530,1,,,Yo nunca he empezado una relación durante la cuarentena.,,
531,2,,,"Yo nunca he puesto ""aquí por la cuarentena"" en mi descripción de Tinder.",,
532,1,,,Yo nunca me he hecho Tinder durante la cuarentena.,,
533,2,,,Yo nunca he llamado a mi pareja por le nombre de mi ex.,,
534,1,,,Yo nunca he sacado la ropa sucia del cesto para ponermela,,
535,2,,,Yo nunca he probado la comida de animales.,,
536,3,,,Yo nunca he masturbado a alguien delante de un espejo.,,
537,3,,,Yo nunca me he olvidado de quitarme la copa para follar.,,
538,1,,,Yo nunca he llevado la copa puesta más de 24h.,,
539,2,,,Yo nunca he sido llevado dentro del carrito de la compra como adulto.,,
540,5,,,Yo nunca he tenido sexo en una sala con una lavadora.,,
541,3,,,Yo nunca he tenido sexo con una musica de los 80 de fondo.,,
542,2,,,Yo nunca he usado una frase para ligar sacada de internet.,,
543,1,,,Yo nunca he empezado a estudiar un examen a menos de una hora de empezarlo.,,
544,1,,,Yo nunca me he creado una cuenta para stalkear.,,
545,1,,,Yo nunca he ligado jugando a videojuegos.,,
546,2,,,Yo nunca he puesto una excusa (falsa) para evitar quedar con alguien.,,
547,3,,,Yo nunca he fantaseado sexualmente con algun/a cantante pop.,,
548,2,,,Yo nunca he estado jugando a videojuegos en mitad de una clase online.,,
549,1,,,Yo nunca me he dejado el micro abierto durante una clase online.,,
550,2,,,Yo nunca he mentido sobre que tocaba un instrumento para ligar.,,
551,2,,,Yo nunca he pensado que el Covid-19 era una conspiración.,,
552,2,,,Yo nunca he vuelto a casa con un ojo morado.,,
553,4,Steve,,Yo nunca he apuñalado a alguien más de 23 veces en una misma noche.,,
554,1,,,Yo nunca me he montado un gimnasio en casa durante la pandemia.,,
555,1,,,Yo nunca he tenido una estatuilla de buda en casa.,,
556,1,,,Yo nunca nunca he matado a una planta sin querer.,,
557,1,,,Yo nunca he meado fuera a pesar de estar meando sentado.,,
558,1,,,Yo nunca he tirado el tampón en el váter sin querer.,,
559,1,,,Yo nunca he tirado el rollo de papel de váter en el váter.,,
560,1,,,A mi nunca me han pedido que deje que me toquen el pelo.,,
561,1,,,Yo nunca he criado caracoles,,
562,2,,,Yo nunca he discutido con mis padres porque no les gustaba mi pareja,,
563,1,,,Yo nunca he editado un vídeo con música de Avicii,,
564,2,,,Yo nunca he recibido un balazo.,,
565,2,,,A mi nunca me han disparado en USA.,,
566,1,,,Yo nunca he pensado en entrar en el ejército.,,
567,4,,,Yo nunca he pensado que moriría de sobredosis.,,
568,2,,,Yo nunca me he lavado los dientes con un cepillo ajeno.,,
569,2,,,Yo nunca he pensado en dejar de salir con este grupo.,,
570,1,,,Yo nunca he pintado un graffiti,,
571,1,,,Yo nunca me he liado con alguien en un campamento,,
572,3,,,Yo nunca he besado al hemano/a de alguno de los presentes,,
573,2,,,Yo nunca he querido irme de casa,,
574,2,,,Yo nunca le he puesto un mote tierno a un rollo de una noche.,,
575,1,,,Yo nunca me he enganchado a una serie,,
576,1,,,"Yo nunca he quedao con alguien para ""Netflix and chill"" y resultó ser solo Netflix and chill",,
577,1,,,Yo nunca me he disfrazado de un personaje de alicia en el país de las maravillas.,,
578,3,,,Yo nunca he probado algún videojuego erótico.,,
579,1,,,"Yo nunca me he vestido al estilo ""Peaky Blinders""",,
580,1,,,Yo nunca he salido de fiesta con tirantes y un sombrero.,,
581,1,,,Yo nunca he comprobado si en el hemisferio sur el váter gira al revés.,,
582,3,,,Yo nunca he tenido un gatillazo,,
583,2,,,Yo nunca he tenido un crush en Zendaya,,
584,2,,,Yo nunca he tenido un crush en una persona que me caía mal,,
585,4,,,Yo nunca he formado parte de una estafa piramidal,,
586,3,,,Yo nunca he tenido sexo con un bailarín/a profesional.,,
587,1,,,A mi nunca se me ha roto un móvil nuevo en menos de una semana.,,
588,1,,,Yo nunca he perdido un móvil nuevo.,,
589,1,,,Yo nunca me he depilado mi propio culo.,,
590,1,,,Yo nunca he llamado a la policia.,,
591,2,,,Yo nunca me he quedado dormido al volante.,,
592,2,,,Yo nunca he comprado dos entradas para un concierto y he terminado yendo solo.,,
593,1,,,Yo nunca he tenido un crush en Zac Efron,,
594,4,,,Yo nunca he hecho un puente en un coche.,,
595,3,,,Yo nunca he tenido una galería de imágenes porno.,,
596,1,,,Yo nunca he querido ir a un instituto americano.,,
597,1,,,Yo nunca he abierto la puerta de mi casa en ropa interior.,,
598,2,,,Yo nunca he estado desnudo sin importarme que pudieran verme los vecinos.,,
599,3,,,Yo nunca he echado un polvo durante un apagón,,
600,3,,,Yo nunca me he liado con alguien en un ascensor.,,
601,1,,,Yo nunca he subido una foto donde yo salía bien y sabía que mi amig@ no.,,
602,4,,,Yo nunca me he emborrachado en solitario.,,
603,3,,,Yo nunca me he liado con alguien que pensaba que era tremendamente feo/a.,,
604,2,,,"Yo nunca he dicho ""te quiero"" sin sentirlo.",,
605,5,,,Yo nunca me he sentido atraído por el dolor.,,
606,2,,,Yo nunca he intentado escalar la pared de un edificio.,,
607,1,,,Yo nunca he llevado relleno en las tetas o en el paquete.,,
608,5,,,A mi nunca se me ha inflamado el coño de tanto tocarme.,,
609,3,,,A mi nunca me han dejado insatisfecho/a.,,
610,2,,,Yo nunca he pensado en operarme las tetas.,,
611,2,,,Yo nunca he ocultado que tenía Covid,,
612,2,,,Yo nunca me he inventado que tenía Covid,,
613,3,,,Yo nunca me he saltado el confinamiento para follar,,
614,2,,,Yo nunca he sido multado por saltarme el confinamiento,,
615,5,,,Yo nunca he usado una app para ligar para masturbarme,,
616,3,,,Yo nunca he follado durante una clase online,,
617,1,,,Yo nunca me he ido de erasmus/intercambio,,
618,2,,,Yo nunca he puesto los cuernos estando de erasmus/intercambio,,
619,1,,,Yo nunca he creído ver un OVNI,,
620,2,,,Yo nunca he pensado que mi ex tenía que pagarme terapia,,
621,1,,,Yo nunca he creído en el oroscopo,,
622,5,,,Yo nunca he querído follarme al padre/madre de uno de los presentes,,
623,2,,,Yo nunca he deseado tener otros suegros,,
624,1,,,Yo nunca me he caído en bici,,
625,2,,,Yo nunca he plantado marihuana,,
626,1,,,Yo nunca he comprado lencería,,
627,2,,,Yo nuna he escondido juguetes sexuales,,
628,3,,,Yo nunca he follado por el culo para evitar un embarazo,,
629,2,,,Yo nunca he pensado que la culpa de todo es el capitalismo,,
630,1,,,Yo nunca he tenido una arma de fuego,,
631,2,,,Yo nunca he comprado una arma de fuego,,
632,2,,,Yo nunca he matado a un mamífero,,
633,1,,,Yo nunca he querído ser veterinario/a.,,
634,1,,,Yo nunca he picado un mechero,,
635,2,,,Yo nunca he llevado mechero para ligar a pesar de no fumar.,,
636,1,,,Yo nunca he perdido un vuelo.,,
637,1,,,Yo nunca he visto Harry Potter,,
638,1,,,Yo nunca he visto Star Wars,,
639,1,,,Yo nunca he visto El Señor de Los Anillos,,
640,1,,,Yo nunca me he quedado dormido/aa en una fiesta,,
641,1,,,Yo nunca he pensado que yo podria hacer un cuadro de arte abstracto,,
642,1,,,Yo nunca he limpiado una mancha de sangre.,,
643,1,,,Yo nunca me he planteado ser maquillador de muertos.,,
644,2,,,A mi nunca me han lanzado una zapatilla.,,
645,1,,,Yo nunca he cagado en la montaña.,,
646,1,,,Yo nunca he plantado una planta,,
647,2,,,Yo nunca he tenido a un/a sirviente/a,,
648,1,,,Yo nunca he trabajado de camarero/a,,
649,1,,,Yo nunca he pagado por un concierto,,
650,3,,,Yo nunca he pensado que la copa menstrual era un cóctel.,,
651,1,,,Yo nunca he ido a Murcia.,,
652,1,,,Yo nunca he intentado imitar el acento del sur.,,
653,2,,,Yo nunca he regalado a alguien un regalo que originalmente era para mi.,,
654,1,,,Yo nunca he tenido un Nokia.,,
655,1,,,Yo nunca he montado un caballo.,,
656,2,,,Yo nunca he utilizado ropa interior de hombre por ser más cómoda.,,
657,3,,,Yo nunca me he liado con alguien mayor de edad siendo yo menor de edad.,Never have I ever hooked up with an adult while I was a teenager.,Jo mai m'he embolicat amb algú menor d'edat mentre jo no ho era.
658,5,,,Yo nunca me he masturbado viendo el perfil de Instagram de alguien,,
659,4,,,Yo nunca he querido participar en un ritual de ayahuasca.,,
660,4,,,Yo nunca me he meado en la cama con alguien al lado.,,
661,4,,,A mi nunca se me ha salido una teta en público.,,
662,4,,,Yo nunca he atascado un retrete ajeno,,
663,4,,,Yo nunca me he puesto cachondo viendo un videoclip de reggaeton,,
664,4,,,Yo nunca he meado con la tapa bajada,,
